COMPANY,PRICE,PRICE CHANGE,DATETIME
"Lucid Group, Inc. (LCID)",6.34,-0.07,2023-08-16 13:32:06.823005
Banco Bradesco S.A. (BBD),3.0650,+0.0150,2023-08-16 13:32:08.038054
"Tesla, Inc. (TSLA)",228.88,-4.08,2023-08-16 13:47:09.629530
NIO Inc. (NIO),11.49,-0.34,2023-08-16 13:47:10.944346
"AMC Entertainment Holdings, Inc. (AMC)",3.6300,-0.0500,2023-08-16 13:47:12.265533
Kenvue Inc. (KVUE),23.07,-0.19,2023-08-16 13:47:13.707284
Nu Holdings Ltd. (NU),7.78,-0.13,2023-08-16 13:47:15.118088
"Advanced Micro Devices, Inc. (AMD)",108.01,-3.33,2023-08-16 13:47:16.584150
DLocal Limited (DLO),20.88,+5.38,2023-08-16 13:47:17.997939
NVIDIA Corporation (NVDA),439.95,+0.55,2023-08-16 13:47:19.415926
Apple Inc. (AAPL),178.15,+0.70,2023-08-16 13:47:20.869294
Johnson & Johnson (JNJ),173.18,+0.24,2023-08-16 13:47:22.426781
Coherent Corp. (COHR),31.80,-15.21,2023-08-16 13:47:23.919269
Bank of America Corporation (BAC),29.44,-0.50,2023-08-16 13:47:25.351450
"Amazon.com, Inc. (AMZN)",136.33,-1.34,2023-08-16 13:47:26.744436
Palantir Technologies Inc. (PLTR),15.55,+0.18,2023-08-16 13:47:28.084755
"AMC Entertainment Holdings, Inc. (APE)",2.1000,-0.0100,2023-08-16 13:47:29.300852
Sea Limited (SE),40.67,+0.09,2023-08-16 13:47:30.464860
Target Corporation (TGT),129.41,+4.36,2023-08-16 13:47:31.744819
Alibaba Group Holding Limited (BABA),89.87,-1.72,2023-08-16 13:47:32.901198
Ford Motor Company (F),11.90,-0.08,2023-08-16 13:47:34.206367
"Rivian Automotive, Inc. (RIVN)",21.03,+0.25,2023-08-16 13:47:35.643706
"JD.com, Inc. (JD)",34.97,-1.00,2023-08-16 13:47:36.896462
"Marathon Digital Holdings, Inc. (MARA)",13.68,-0.25,2023-08-16 13:47:38.316729
Energy Transfer LP (ET),12.82,+0.26,2023-08-16 13:47:39.954799
"Lucid Group, Inc. (LCID)",6.38,-0.03,2023-08-16 13:47:41.201673
Banco Bradesco S.A. (BBD),3.0600,+0.0100,2023-08-16 13:47:42.464399
COMPANY,PRICE,PRICE CHANGE,DATETIME
COMPANY,PRICE,PRICE CHANGE,TIME
